områdetype;område;vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
By;Tromsø;E;Yrkesdøgn;< 5,6m;Siste 12 måneder;-10,173;98,710;4365793;4860206;1.796;2.230
By;Tromsø;E;Yrkesdøgn;>= 5,6m;Siste 12 måneder;0,531;98,710;473179;470680;5.624;6.984
By;Tromsø;E;Yrkesdøgn;5,6m - 7,6m;Siste 12 måneder;-4,476;98,710;165360;173108;2.762;3.429
By;Tromsø;E;Yrkesdøgn;7,6m - 12,5m;Siste 12 måneder;-10,220;98,710;167228;186264;10.427;12.947
By;Tromsø;E;Yrkesdøgn;12,5m - 16,0m;Siste 12 måneder;51,122;98,710;79785;52795;32.237;40.028
By;Tromsø;E;Yrkesdøgn;16,0m - 24,0m;Siste 12 måneder;3,490;98,710;58217;56254;5.603;6.957
By;Tromsø;E;Yrkesdøgn;>= 24,0m;Siste 12 måneder;14,608;98,710;2589;2259;9.085;11.280
By;Tromsø;E;Helgedøgn;Alle;Siste 12 måneder;-15,445;32,680;1149057;1358946;0.719;0.893
By;Tromsø;E;Helgedøgn;< 5,6m;Siste 12 måneder;-16,021;97,680;1090458;1298486;0.592;0.736
By;Tromsø;E;Helgedøgn;>= 5,6m;Siste 12 måneder;-3,817;97,680;57661;59949;3.799;4.717
By;Tromsø;E;Helgedøgn;5,6m - 7,6m;Siste 12 måneder;-13,584;97,680;18130;20980;7.504;9.318
By;Tromsø;E;Helgedøgn;7,6m - 12,5m;Siste 12 måneder;-12,663;97,680;18201;20840;5.915;7.345
By;Tromsø;E;Helgedøgn;12,5m - 16,0m;Siste 12 måneder;26,327;97,680;13349;10567;24.231;30.087
By;Tromsø;E;Helgedøgn;16,0m - 24,0m;Siste 12 måneder;3,524;97,680;7227;6981;7.609;9.448
By;Tromsø;E;Helgedøgn;>= 24,0m;Siste 12 måneder;29,776;97,680;754;581;23.149;28.744
By;Tromsø;E;Alle;Alle;Hittil i år;-10,504;98,920;5992732;6696110;1.595;1.980
By;Tromsø;E;Alle;< 5,6m;Hittil i år;-11,406;98,390;5456251;6158692;1.343;1.668
By;Tromsø;E;Alle;>= 5,6m;Hittil i år;0,040;98,390;530840;530629;5.044;6.263
By;Tromsø;E;Alle;5,6m - 7,6m;Hittil i år;-5,460;98,390;183490;194088;3.369;4.183
By;Tromsø;E;Alle;7,6m - 12,5m;Hittil i år;-10,466;98,390;185429;207104;9.500;11.796
By;Tromsø;E;Alle;12,5m - 16,0m;Hittil i år;46,987;98,390;93134;63362;31.207;38.749
By;Tromsø;E;Alle;16,0m - 24,0m;Hittil i år;3,493;98,390;65444;63235;5.689;7.064
By;Tromsø;E;Alle;>= 24,0m;Hittil i år;17,711;98,390;3343;2840;10.929;13.571
By;Tromsø;E;Yrkesdøgn;Alle;Hittil i år;-9,246;99,310;4843675;5337164;2.070;2.570
By;Tromsø;E;Yrkesdøgn;< 5,6m;Hittil i år;-10,173;98,710;4365793;4860206;1.796;2.230
By;Tromsø;E;Yrkesdøgn;>= 5,6m;Hittil i år;0,531;98,710;473179;470680;5.624;6.984
By;Tromsø;E;Yrkesdøgn;5,6m - 7,6m;Hittil i år;-4,476;98,710;165360;173108;2.762;3.429
By;Tromsø;E;Yrkesdøgn;7,6m - 12,5m;Hittil i år;-10,220;98,710;167228;186264;10.427;12.947
By;Tromsø;E;Yrkesdøgn;12,5m - 16,0m;Hittil i år;51,122;98,710;79785;52795;32.237;40.028
By;Tromsø;E;Yrkesdøgn;16,0m - 24,0m;Hittil i år;3,490;98,710;58217;56254;5.603;6.957
By;Tromsø;E;Yrkesdøgn;>= 24,0m;Hittil i år;14,608;98,710;2589;2259;9.085;11.280
By;Tromsø;E;Helgedøgn;Alle;Hittil i år;-15,445;98,060;1149057;1358946;0.719;0.893
By;Tromsø;E;Helgedøgn;< 5,6m;Hittil i år;-16,021;97,680;1090458;1298486;0.592;0.736
By;Tromsø;E;Helgedøgn;>= 5,6m;Hittil i år;-3,817;97,680;57661;59949;3.799;4.717
By;Tromsø;E;Helgedøgn;5,6m - 7,6m;Hittil i år;-13,584;97,680;18130;20980;7.504;9.318
By;Tromsø;E;Helgedøgn;7,6m - 12,5m;Hittil i år;-12,663;97,680;18201;20840;5.915;7.345
By;Tromsø;E;Helgedøgn;12,5m - 16,0m;Hittil i år;26,327;97,680;13349;10567;24.231;30.087
By;Tromsø;E;Helgedøgn;16,0m - 24,0m;Hittil i år;3,524;97,680;7227;6981;7.609;9.448
By;Tromsø;E;Helgedøgn;>= 24,0m;Hittil i år;29,776;97,680;754;581;23.149;28.744
By;Tromsø;K;Alle;Alle;Mai;-;-;-;-;-;-
By;Tromsø;K;Alle;< 5,6m;Mai;-;-;-;-;-;-
By;Tromsø;K;Alle;>= 5,6m;Mai;-;-;-;-;-;-
By;Tromsø;K;Alle;5,6m - 7,6m;Mai;-;-;-;-;-;-
By;Tromsø;K;Alle;7,6m - 12,5m;Mai;-;-;-;-;-;-
By;Tromsø;K;Alle;12,5m - 16,0m;Mai;-;-;-;-;-;-
By;Tromsø;K;Alle;16,0m - 24,0m;Mai;-;-;-;-;-;-
By;Tromsø;K;Alle;>= 24,0m;Mai;-;-;-;-;-;-
By;Tromsø;K;Yrkesdøgn;Alle;Mai;-;-;-;-;-;-
By;Tromsø;K;Yrkesdøgn;< 5,6m;Mai;-;-;-;-;-;-
By;Tromsø;K;Yrkesdøgn;>= 5,6m;Mai;-;-;-;-;-;-
By;Tromsø;K;Yrkesdøgn;5,6m - 7,6m;Mai;-;-;-;-;-;-
