"msnr";"msnavn";"maaned";"trafikkmengde.basisaar";"trafikkmengde.indeksaar";"indeks";"dekningsgrad"
9916056;"Kroppan bru, M-snitt";"12";388213;372355;"-4.08487093425517";"100"
9916058;"Være (Gml. E6), N-snitt";"12";241384;237119;"-1.76689424319756";"100"
9916059;"Rv 706 Leangensletta, O-snitt";"12";656153;660573;"0.673623377474453";"100"
9916060;"Haakon VII s gt , O-snitt";"12";310264;305897;"-1.40751102287084";"100"
9916061;"Landbruksvegen, O-snitt";"12";134470;140310;"4.34297612850449";"100"
9916062;"Tungasletta, O-snitt";"12";200808;202483;"0.834130114338083";"100"
9916064;"Thorbjørn Bratts veg, O-snitt";"12";326269;339332;"4.00375150565944";"100"
9916065;"Bratsbergveien, O-snitt";"12";168672;140280;"-16.8326693227092";"100"
9916066;"Tempeveien, O-snitt";"12";71903;89202;"24.05880144083";"100"
9916067;"Bøckmans veg, B-snitt";"12";135016;150255;"11.2868104520946";"100"
9916068;"Byåsveien, B-snitt";"12";287501;273563;"-4.84798313744995";"100"
9916069;"Gamle Oslovei, B-snitt";"12";112048;110238;"-1.6153791232329";"100"
9916085;"Fv 704 Torgårdsletta. K-snitt";"12";169592;158227;"-6.70137742346337";"100"
9916086;"Tillerbrua, K-snitt";"12";41484;39774;"-4.12207115996529";"100"
